id,title,popularity,release_date
97367,The Place Beyond the Pines,3.540e+01,2013-03-20
13374,Ice Princess,1.329e+01,2005-03-17
1808,Velvet Goldmine,1.093e+01,1998-10-23
10152,Dumb and Dumberer: When Harry Met Lloyd,1.568e+01,2003-06-13
180383,Deceptive Practice: The Mysteries and Mentors ...,4.252e-01,2012-10-04
14256,Winter Passing,3.644e+00,2006-02-07
43942,Freakonomics,1.781e+00,2010-10-01
26306,Prefontaine,8.717e+00,1997-01-24
164558,One Direction: This Is Us,7.944e+00,2013-08-28
10972,Session 9,1.106e+01,2001-08-10
78383,Nurse 3-D,1.001e+01,2013-09-28
37206,A Shine of Rainbows,1.210e+01,2009-10-01
5551,Space Cowboys,1.577e+01,2000-07-31
1571,Live Free or Die Hard,4.893e+01,2007-06-20
94348,Alex Cross,1.451e+01,2012-10-18
1777,Fahrenheit 9/11,1.621e+01,2004-06-25
34106,You Can't Take It With You,3.426e+00,1938-08-23
71864,The Odd Life of Timothy Green,1.639e+01,2012-08-15
672,Harry Potter and the Chamber of Secrets,1.324e+02,2002-11-13
2275,The General's Daughter,1.835e+01,1999-06-18
11975,The Rainmaker,1.223e+01,1997-11-18
241771,Beyond the Lights,8.079e+00,2014-09-10
2619,Splash,2.174e+01,1984-03-09
11978,Men of Honor,2.415e+01,2000-09-13
17708,Corky Romano,3.496e+00,2001-10-12
11977,Caddyshack,1.593e+01,1980-07-25
658,Goldfinger,4.781e+01,1964-09-17
10285,Jason Goes to Hell: The Final Friday,1.034e+01,1993-08-13
8271,Disturbia,3.169e+01,2007-04-12
676,Pearl Harbor,3.421e+01,2001-05-21
10501,The Road to El Dorado,3.705e+01,2000-03-31
11687,The Visitors,8.894e+00,1993-01-27
137093,Last Vegas,2.804e+01,2013-10-31
316002,Accidental Love,5.645e+00,2015-02-10
84184,Celeste & Jesse Forever,9.436e+00,2012-08-03
10229,A Walk to Remember,3.328e+01,2002-01-25
209263,Enough Said,1.497e+01,2013-09-18
2196,Death at a Funeral,2.041e+01,2007-02-09
3595,Ransom,1.641e+01,1996-11-08
41446,Scream 4,3.522e+01,2011-04-11
205126,Independence Daysaster,1.959e+00,2013-06-27
166424,Fantastic Four,3.813e+01,2015-08-05
9481,The Bone Collector,3.388e+01,1999-11-04
68179,Escape from Planet Earth,1.814e+01,2013-02-14
216015,Fifty Shades of Grey,9.876e+01,2015-02-11
9455,The Corruptor,4.068e+00,1999-03-12
5722,Beyond the Valley of the Dolls,4.289e+00,1970-07-17
9075,Black Book,1.391e+01,2006-09-01
111794,20 Dates,4.081e-01,1998-01-01
824,Moulin Rouge!,5.737e+01,2001-03-09
9804,Waterworld,4.464e+01,1995-07-28
5723,Once,1.905e+01,2007-03-23
